,no of businesses,Average ratings,avg review count
85194,7,3.428571429,15.14285714
85201,324,3.422839506,19.4845679
85202,319,3.413793103,23.86206897
85203,140,3.45,13.32142857
85204,298,3.295302013,20.46979866
85205,150,3.64,16.61333333
85206,264,3.170454545,15.14393939
85207,84,3.321428571,11.96428571
85208,25,3.12,7.64
85209,144,3.263888889,16.3125
85210,311,3.366559486,19.47266881
85211,2,3.5,32
85212,81,3.518518519,14.12345679
85213,83,3.626506024,12.63855422
85215,120,3.233333333,14.06666667
85218,13,3.384615385,12.15384615
85219,22,3.5,18.27272727
85220,32,3.28125,10.25
85221,1,5,3
85222,52,3.211538462,13.59615385
85224,465,3.488172043,27.01290323
85225,353,3.535410765,22.91501416
85226,560,3.367857143,25.62678571
85228,5,3.2,10.2
85232,8,3.25,11
85233,266,3.560150376,18.27443609
85234,271,3.58302583,30.96309963
85236,11,3.181818182,10.54545455
85237,1,3,4
85238,1,3,10
85239,32,3.0625,10.4375
85240,5,3.2,20.6
85242,63,3.428571429,18.06349206
85243,15,2.4,17.6
85244,2,3,6.5
85246,1,5,7
85248,203,3.339901478,18.45320197
85249,93,3.602150538,13.07526882
85250,246,3.43495935,28.72357724
85251,1122,3.644385027,43.79144385
85252,4,4,18.25
85253,232,3.646551724,40.18103448
85254,574,3.658536585,30.56794425
85255,318,3.635220126,25.31761006
85256,35,3.685714286,56.11428571
85257,273,3.461538462,31.42124542
85258,339,3.672566372,24.86430678
85259,92,3.576086957,17.67391304
85260,810,3.624691358,23.09012346
85261,2,5,9
85262,49,3.795918367,22.36734694
85263,5,3.8,7.2
85264,9,3.222222222,19.11111111
85266,23,3.826086957,21.86956522
85267,5,4.6,8
85268,127,3.582677165,14.58267717
85269,3,3.666666667,24
85271,1,2,3
85272,1,3,3
85275,4,4.5,10.25
85277,2,5,5
85278,2,5,7.5
85280,2,3,11
85281,996,3.403614458,39.63955823
85282,576,3.340277778,23.25868056
85283,348,3.560344828,23.9683908
85284,326,3.45398773,24.69631902
85285,10,4.2,6.8
85286,193,3.497409326,21.80829016
85287,5,3.4,43
85290,1,3,10
85294,4,3.5,7.75
85295,225,3.471111111,23.70666667
85296,291,3.470790378,24.59793814
85297,140,3.442857143,14.97142857
85298,47,3.553191489,13.17021277
85299,11,3.909090909,11.36363636
85301,215,3.441860465,16.97209302
85302,115,3.304347826,15.26956522
85303,32,3.15625,9.96875
85304,56,3.392857143,11.10714286
85305,119,3.176470588,28.7394958
85306,129,3.286821705,16.08527132
85307,26,3.538461538,7.384615385
85308,596,3.395973154,20.69966443
85309,2,4,9
85310,89,3.483146067,15.2247191
85311,10,3.8,17.2
85312,2,3,3.5
85318,2,5,3
85322,1,4,7
85323,171,3.175438596,13.83625731
85324,3,3,91.66666667
85326,77,3.168831169,9.766233766
85327,2,4.5,37
85329,2,3.5,6.5
85331,180,3.6,21.42222222
85335,40,3.375,9
85337,20,3.25,12.8
85338,231,3.173160173,15.76623377
85339,77,2.935064935,11.45454545
85340,85,3.482352941,18.61176471
85342,4,3.25,18.25
85343,1,5,4
85345,197,3.395939086,15.27918782
85351,72,3.138888889,9.930555556
85353,61,2.967213115,10.73770492
85354,6,3.666666667,10.5
85355,4,3,14
85358,2,3,4.5
85361,3,3.666666667,5
85363,16,3.875,7.25
85373,10,3.8,6.5
85374,310,3.283870968,18.37419355
85375,21,3.571428571,8.714285714
85377,44,3.636363636,19.56818182
85378,30,3.633333333,10.1
85379,81,3.481481481,15.82716049
85380,1,4,8
85381,124,3.39516129,15.61290323
85382,255,3.345098039,21.94901961
85383,105,3.533333333,15.2952381
85385,5,3.2,12.2
85387,4,3.75,3.75
85388,27,3.666666667,20.37037037
85390,56,3.446428571,12.08928571
85392,123,3.333333333,21.13821138
85394,1,4,7
85395,120,3.466666667,26.25
85396,12,3.5,17.41666667
85545,1,4,5
85553,3,3.666666667,5
85705,1,4,5
85821,2,2.5,61.5
85828,1,4,3
85923,1,4,18
85935,1,3,11
86336,1,3,93
89002,50,3.6,15.02
89005,28,3.857142857,15.96428571
89009,4,5,6
89011,123,3.642276423,18.00813008
89012,193,3.704663212,29.39378238
89013,1,3,3
89014,590,3.338983051,25.49491525
89015,264,3.28030303,15.15151515
89019,2,3.5,211
89030,165,3.084848485,16.67272727
89031,129,3.217054264,14.74418605
89032,191,3.209424084,18.2408377
89033,1,4,9
89044,34,3.411764706,100.5882353
89052,566,3.598939929,26.81978799
89053,2,4,5
89074,278,3.45323741,18.02158273
89077,13,3.153846154,36.61538462
89081,56,3.214285714,11.28571429
89084,97,3.319587629,24.84536082
89085,2,3.5,3
89086,11,3.090909091,21.09090909
89101,558,3.449820789,50.51075269
89102,725,3.422068966,47.11586207
89103,674,3.339762611,46.47922849
89104,418,3.433014354,38.40191388
89105,1,5,4
89106,226,3.340707965,18.15486726
89107,184,3.456521739,20.54891304
89108,258,3.275193798,17.81395349
89109,1997,3.303955934,133.9669504
89110,112,3.035714286,11.60714286
89111,15,2.4,19.66666667
89113,300,3.56,34.09666667
89114,2,4,43.5
89115,118,3.296610169,17.11016949
89116,1,4,4
89117,647,3.641421947,31.50386399
89118,515,3.66407767,31.28737864
89119,949,3.265542677,51.82613277
89120,223,3.600896861,21.58744395
89121,407,3.398034398,19.48894349
89122,119,3.075630252,19.21008403
89123,644,3.479813665,39.00931677
89124,6,2.833333333,9.5
89126,2,4.5,5.5
89128,341,3.419354839,27.98240469
89129,192,3.416666667,19.265625
89130,254,3.334645669,18.94094488
89131,178,3.5,19.26404494
89133,2,3,35.5
89134,114,3.587719298,17.19298246
89135,209,3.354066986,39.36363636
89136,134,3.201492537,44.51492537
89137,1,4,10
89138,14,4.357142857,17.57142857
89139,303,3.481848185,38.7689769
89140,2,3,68
89141,82,3.62195122,30.1097561
89142,45,3.244444444,10.42222222
89143,19,3.684210526,52.21052632
89144,81,3.666666667,16.67901235
89145,245,3.526530612,40.09795918
89146,511,3.502935421,43.40313112
89147,527,3.60341556,31.61859583
89148,296,3.695945946,28.75337838
89149,270,3.381481481,26.85185185
89150,1,3,100
89151,2,3,16.5
89152,4,3.75,75
89153,2,2,9
89154,13,3.384615385,19
89155,6,3.833333333,67.83333333
89156,24,3.583333333,12.91666667
89157,1,2,3
89158,32,3.5625,156.96875
89160,1,4,32
89161,1,4,14
89162,19,3.421052632,47.42105263
89166,9,3.444444444,22.22222222
89169,266,3.30075188,73.39097744
89173,1,3,9
89178,48,3.625,24.10416667
89179,2,4,98
89183,204,3.352941176,45.98529412
89191,19,3.631578947,8.947368421
89193,7,3,13.57142857
89195,1,5,4
89199,3,3.666666667,58.33333333
90036,1,5,10
92107,1,1,29
93013,1,3,4
97402,1,3,4
98121,1,5,9
