,Yelp,socrata,API,Average ratings,Total reviews,,,,
53527,0,0,0,,,,,,
53529,0,0,0,,,,,,
53532,0,0,0,,,,,,
53558,0,0,0,,,,,,
53562,2,2,2,4,6.5,,,,
53575,0,0,0,,,,,,
53589,0,0,0,,,,,,
53590,1,2,2,3,9,,,,
53593,0,0,0,,,,,,
53597,0,0,0,,,,,,
53598,0,0,0,,,,,,
53701,0,0,0,,,,,,
53702,0,0,0,,,,,,
53703,2,3,3,3.5,16.5,,,,
53704,1,2,2,4,9,,,,
53705,1,2,2,3,11,,,,
53706,0,0,0,,,,,,
53707,0,0,0,,,,,,
53708,0,0,0,,,,,,
53711,1,1,2,4,12,,,,
53713,0,0,0,,,,,,
53714,0,0,0,,,,,,
53715,0,0,0,,,,,,
53716,1,1,1,4,11,,,,
53717,0,1,1,,,,,,
53718,0,0,0,,,,,,
53719,1,3,2,3,15,,,,
53725,0,0,0,,,,,,
53726,0,0,0,,,,,,
53774,0,0,0,,,,,,
53925,0,0,0,,,,,,
55122,0,4,4,,,,,,
61801,1,0,0,2,14,,,,
61802,0,1,1,,,,,,
61803,0,0,0,,,,,,
61820,1,3,2,3,18,,,,
61821,0,0,0,,,,,,
61822,0,1,1,,,,,,
61824,0,0,0,,,,,,
61826,0,0,0,,,,,,
61874,0,0,0,,,,,,
68451,0,0,0,,,,,,
78409,0,0,0,,,,,,
85000,0,0,1,,,,,,
85001,0,0,0,,,,,,
85003,3,4,4,3.666666667,10.66666667,,,,
85004,6,4,4,2.666666667,10.33333333,,,,
85005,0,0,0,,,,,,
85006,0,0,0,,,,,,
85007,1,1,1,4,28,,,,
85008,1,1,1,3,25,,,,
85009,0,0,0,,,,,,
85012,2,2,2,4,18,,,,
85013,5,5,5,3,10,,,,
85014,2,1,1,2.5,30,,,,
85015,1,2,2,2,13,,,,
85016,9,10,9,3.333333333,15.44444444,,,,
85017,1,1,1,2,16,,,,
85018,1,4,4,3,6,,,,
85019,0,0,0,,,,,,
85020,0,1,1,,,,,,
85021,1,2,2,3,12,,,,
85022,3,5,5,3.333333333,27,,,,
85023,0,0,0,,,,,,
85024,0,0,0,,,,,,
85027,2,1,1,2.5,14.5,,,,
85028,1,3,3,4,11,,,,
85029,1,2,2,3,19,,,,
85030,0,0,0,,,,,,
85031,0,0,0,,,,,,
85032,6,10,10,3,14.5,,,,
85033,0,1,1,,,,,,
85034,3,5,5,3,27.33333333,,,,
85035,1,2,2,2,22,,,,
85036,0,0,0,,,,,,
85037,2,2,2,3.5,13.5,,,,
85038,0,0,0,,,,,,
85040,0,0,0,,,,,,
85041,1,1,1,2,21,,,,
85042,1,3,3,2,23,,,,
85043,0,0,0,,,,,,
85044,1,3,3,3,5,,,,
85045,0,0,0,,,,,,
85046,0,0,0,,,,,,
85048,1,3,3,3,22,,,,
85050,2,3,3,2.5,21,,,,
85051,0,1,1,,,,,,
85053,1,3,3,3,44,,,,
85054,1,2,2,3,20,,,,
85058,0,0,0,,,,,,
85060,0,0,0,,,,,,
85063,0,0,0,,,,,,
85064,0,0,0,,,,,,
85068,0,0,0,,,,,,
85071,0,0,0,,,,,,
85072,0,0,0,,,,,,
85073,1,0,0,3,8,,,,
85076,0,0,0,,,,,,
85078,0,0,0,,,,,,
85080,0,0,0,,,,,,
85082,0,0,0,,,,,,
85083,0,0,0,,,,,,
85085,1,2,2,3,30,,,,
85086,3,5,5,3,11,,,,
85087,0,0,0,,,,,,
85118,0,0,0,,,,,,
85119,0,0,0,,,,,,
85120,0,2,2,,,,,,
85122,1,3,3,4,10,,,,
85128,0,1,1,,,,,,
85132,0,1,1,,,,,,
85138,0,0,0,,,,,,
85139,0,3,3,,,,,,
85140,0,1,1,,,,,,
85142,1,3,3,3,3,,,,
85143,1,2,2,3,16,,,,
85190,0,0,0,,,,,,
85193,0,0,0,,,,,,
85194,0,0,0,,,,,,
85201,0,1,1,,,,,,
85202,3,5,5,3.666666667,16.66666667,,,,
85203,1,2,2,3,14,,,,
85204,4,5,5,3.25,14.75,,,,
85205,0,1,1,,,,,,
85206,2,4,4,3,20,,,,
85207,0,1,1,,,,,,
85208,0,0,0,,,,,,
85209,2,5,5,3,14,,,,
85210,0,0,0,,,,,,
85211,0,0,0,,,,,,
85212,3,1,1,4,9,,,,
85213,0,1,1,,,,,,
85215,2,4,4,4,14,,,,
85218,0,0,0,,,,,,
85219,0,0,0,,,,,,
85220,1,0,0,4,7,,,,
85221,0,0,0,,,,,,
85222,0,1,1,,,,,,
85224,3,4,4,3.333333333,18.33333333,,,,
85225,1,2,2,4,16,,,,
85226,6,8,7,3.5,11.33333333,,,,
85228,0,0,0,,,,,,
85232,0,0,0,,,,,,
85233,1,1,1,3,15,,,,
85234,0,1,1,,,,,,
85236,0,0,1,,,,,,
85237,0,0,0,,,,,,
85238,0,0,0,,,,,,
85239,0,0,0,,,,,,
85240,0,0,0,,,,,,
85242,0,0,0,,,,,,
85243,0,0,0,,,,,,
85244,0,0,0,,,,,,
85246,0,0,0,,,,,,
85248,3,3,3,3.333333333,14,,,,
85249,1,4,4,4,17,,,,
85250,2,5,5,2.5,17.5,,,,
85251,4,6,5,3,20.75,,,,
85252,0,0,0,,,,,,
85253,1,2,2,3,26,,,,
85254,4,8,7,3.5,15.75,,,,
85255,3,6,6,3.333333333,11.66666667,,,,
85256,0,0,0,,,,,,
85257,1,2,2,4,15,,,,
85258,1,3,3,5,4,,,,
85259,0,2,2,,,,,,
85260,5,7,7,3,24.8,,,,
85261,0,0,0,,,,,,
85262,1,0,0,2,4,,,,
85263,0,0,0,,,,,,
85264,0,0,0,,,,,,
85266,0,3,3,,,,,,
85267,0,0,0,,,,,,
85268,2,4,4,3.5,9.5,,,,
85269,0,0,0,,,,,,
85271,0,0,0,,,,,,
85272,0,0,0,,,,,,
85275,0,0,0,,,,,,
85277,0,0,0,,,,,,
85278,0,0,0,,,,,,
85280,0,0,0,,,,,,
85281,9,10,10,2.666666667,16.77777778,,,,
85282,4,7,7,3.25,16.25,,,,
85283,1,3,3,3,24,,,,
85284,2,4,4,3.5,18.5,,,,
85285,0,0,0,,,,,,
85286,0,3,3,,,,,,
85287,0,2,2,,,,,,
85290,0,0,0,,,,,,
85294,0,0,0,,,,,,
85295,1,3,3,2,4,,,,
85296,2,5,5,3.5,15,,,,
85297,1,4,4,3,10,,,,
85298,0,0,0,,,,,,
85299,0,0,0,,,,,,
85301,0,0,0,,,,,,
85302,1,2,2,3,20,,,,
85303,0,0,0,,,,,,
85304,0,1,1,,,,,,
85305,0,0,0,,,,,,
85306,1,3,3,3,14,,,,
85307,1,0,0,3,6,,,,
85308,4,8,6,3,18.5,,,,
85309,0,1,1,,,,,,
85310,1,2,2,4,14,,,,
85311,0,0,0,,,,,,
85312,0,0,0,,,,,,
85318,0,0,0,,,,,,
85322,0,0,0,,,,,,
85323,3,1,1,3,6.666666667,,,,
85324,0,0,0,,,,,,
85326,0,1,1,,,,,,
85327,0,0,0,,,,,,
85329,0,0,0,,,,,,
85331,1,4,4,5,6,,,,
85335,0,0,0,,,,,,
85337,0,0,0,,,,,,
85338,1,5,5,3,22,,,,
85339,0,3,3,,,,,,
85340,1,2,2,3,11,,,,
85342,0,0,0,,,,,,
85343,0,0,0,,,,,,
85345,0,1,1,,,,,,
85351,1,2,2,4,5,,,,
85353,1,1,1,3,8,,,,
85354,0,0,0,,,,,,
85355,0,0,0,,,,,,
85358,0,0,0,,,,,,
85361,0,0,0,,,,,,
85363,0,0,0,,,,,,
85373,0,1,1,,,,,,
85374,3,6,6,3.333333333,22,,,,
85375,0,2,2,,,,,,
85377,0,0,0,,,,,,
85378,0,0,0,,,,,,
85379,2,3,3,4,4,,,,
85380,0,0,0,,,,,,
85381,1,1,1,3,14,,,,
85382,1,5,5,2,7,,,,
85383,1,3,3,2,12,,,,
85385,0,0,0,,,,,,
85387,0,0,0,,,,,,
85388,1,1,1,3,5,,,,
85390,0,1,1,,,,,,
85392,1,2,2,4,7,,,,
85394,0,0,0,,,,,,
85395,1,2,2,4,26,,,,
85396,0,0,0,,,,,,
85545,0,0,0,,,,,,
85553,0,0,0,,,,,,
85705,0,3,3,,,,,,
85821,0,0,0,,,,,,
85828,0,0,0,,,,,,
85923,0,0,0,,,,,,
85935,0,0,0,,,,,,
86336,0,3,3,,,,,,
89002,1,0,0,4,7,,,,
89005,0,1,1,,,,,,
89009,0,0,0,,,,,,
89011,0,0,0,,,,,,
89012,2,3,3,3.5,22.5,,,,
89013,0,0,0,,,,,,
89014,5,5,5,3.2,21,,,,
89015,5,5,5,3.2,9.4,,,,
89019,0,2,2,,,,,,
89030,3,3,3,3.666666667,19.66666667,,,,
89031,1,2,2,3,20,,,,
89032,0,1,1,,,,,,
89033,0,0,0,,,,,,
89044,0,1,1,,,,,,
89052,4,6,6,2.75,17,,,,
89053,0,0,0,,,,,,
89074,2,3,3,4,14.5,,,,
89077,0,0,0,,,,,,
89081,1,1,1,3,3,,,,
89084,1,4,4,3,24,,,,
89085,0,0,0,,,,,,
89086,0,0,0,,,,,,
89101,3,4,4,3,21.66666667,,,,
89102,3,3,4,2.333333333,12.66666667,,,,
89103,5,6,6,3,34,,,,
89104,2,2,2,3.5,24.5,,,,
89105,0,0,0,,,,,,
89106,3,3,3,3,25,,,,
89107,1,1,1,3,27,,,,
89108,0,0,0,,,,,,
89109,24,30,10,2.5,17.33333333,,,,
89110,0,0,0,,,,,,
89111,0,3,3,,,,,,
89113,1,1,1,3,3,,,,
89114,0,0,0,,,,,,
89115,0,0,0,,,,,,
89116,0,0,0,,,,,,
89117,3,6,6,3.333333333,25,,,,
89118,3,10,10,2.666666667,47.66666667,,,,
89119,11,13,10,2.636363636,23.72727273,,,,
89120,0,0,0,,,,,,
89121,5,5,5,3.2,10.2,,,,
89122,2,1,1,3,14.5,,,,
89123,5,5,5,2.6,36.4,,,,
89124,0,0,0,,,,,,
89126,0,0,0,,,,,,
89128,2,5,5,4,21,,,,
89129,2,5,5,3,22.5,,,,
89130,4,6,6,3,9.25,,,,
89131,3,4,4,3,13.66666667,,,,
89133,0,0,0,,,,,,
89134,1,2,2,4,36,,,,
89135,3,7,6,2.666666667,16.33333333,,,,
89136,1,0,0,2,7,,,,
89137,0,0,0,,,,,,
89138,0,0,0,,,,,,
89139,3,4,4,3.666666667,8,,,,
89140,0,0,0,,,,,,
89141,1,1,1,2,43,,,,
89142,1,1,1,1,3,,,,
89143,0,0,0,,,,,,
89144,0,0,0,,,,,,
89145,0,2,2,,,,,,
89146,3,1,1,3,12.33333333,,,,
89147,1,3,3,3,37,,,,
89148,2,2,3,3,44,,,,
89149,2,2,2,3.5,36.5,,,,
89150,0,0,0,,,,,,
89151,0,0,0,,,,,,
89152,0,0,0,,,,,,
89153,0,0,0,,,,,,
89154,0,1,1,,,,,,
89155,0,0,0,,,,,,
89156,0,0,0,,,,,,
89157,0,0,0,,,,,,
89158,3,4,4,2.666666667,11,,,,
89160,0,0,0,,,,,,
89161,0,0,0,,,,,,
89162,0,0,0,,,,,,
89166,0,0,0,,,,,,
89169,2,0,0,4,11,,,,
89173,0,0,0,,,,,,
89178,0,0,0,,,,,,
89179,0,0,0,,,,,,
89183,1,2,2,4,24,,,,
89191,0,1,1,,,,,,
89193,0,0,0,,,,,,
89195,0,0,0,,,,,,
89199,0,0,0,,,,,,
90036,0,8,8,,,,,,
92107,0,1,1,,,,,,
93013,0,2,2,,,,,,
97402,0,5,5,,,,,,
98121,0,6,6,,,,,,
