View,Name of Firm,Trade Name,unknown,unknown,"Address, line 1","Address, line 2",City,State,Zip,Capabilities Narrative,Accepts Credit Card?,CAGE Code,Congr. Dist.,County Code,DUNS Number,Fiscal Year Ends,In SAM?,Incorp. Country,Main/Branch,Metro Stat Area,WWW Page URL,Year Established,8(a) Entrance Date,8(a) Exit Date,HUBZone Certification Date,HUBZone Exit Date,Legal Structure,SDB Entrance Date,SDB Exit Date,unknown,unknown,Special Equipment/Materials,"NAICS, All (for which firm is small)"
14,"TEXAS MATRIX, LLC ",,JONATHAN HAWFIELD,,441 N. McLin Creek Rd. ,,Conover,NC,28613-8857,,Yes,6HND4,10,35,969071468,1201,Y,USA,Main,3290,http://www.texasmatrix.com,2011,,,,,,,,"computers, network, networking, cable, printershubs, routers, printers, cameras, security, patch panels, calculators, cpu, hard drives, input devices, kvm switches, modems, memory, projectors, scanners, servers, fiber optic",,,"423410, 423430, 423620, 423690"
15,"CLASSIC LEATHER, INC.",ST TIMOTHY CHAIR CO,CARYL BURNS,,203 SIMPSON ST,,CONOVER,NC,28613-8208,,Yes,1MNQ6,10,35,608882635,1201,Y,USA,Branch,3290,,1965,,,,,,,,,,,337211
16,"W.K. DICKSON & CO., INC.",,DAN  DAWSON,,401 4TH STREET SW STE 201,,HICKORY,NC,28602-2822,,Yes,3WVX6,5,35,960625499,1201,Y,USA,Branch,3290,,1996,,,,,,,,,,,"541330, 541330, 541330"
17,"Rotary Drill Service, Inc. ",,David Walker,,1615 Railroad Ave ,,Newton,NC,28658-2151,Drilling equipment Drilling equipment parts & repair,Yes,38LM7,10,35,93347144,1201,Y,USA,Main,3290,,1978,,,,,SC,,,"Equipment, Drilling, Compressors",,,"211111, 212111, 212312, 212313, 213111, 332912, 333132"
18,TRAILER SALES & SERVICE INC,,STEVEN  BEANE,President,2900 NATHAN ST,,CONOVER,NC,28613-0000,"Sales of New & Used Truck Trailers Rental & Leasing of Truck-Trailers for Road Use, Storage Trailers & Storage Containers Aftermarket Parts for Trailers & related Products",Yes,1VHJ9,10,35,66295445,401,Y,USA,Main,3290,http://www.trailersales.com,1972,,,,,,,,"container sales, container rental, trailers sales, trailer rental, truck parts, trailer parts, trailer service, heavy duty repair, suspension, airride, air ride, welding, electrical, wreck repair, repair",,8111,"423110, 423120, 811118, 811121"
19,K&M COLLISION ,,K. Michael  Bradshaw,,161 LENOIR RHYNE BLVD SE ,,HICKORY,NC,28602-3829,,Yes,78A96,5,35,42727350,1201,Y,USA,Main,3290,www.kandmcollision.com,2013,,,,,LL,,,,,,"488410, 811111, 811121"
20,"INTRAMCO, INC.",,LEWIS BIBB,,6420 GEORGE HILDEBRAN SCHOOL RD,,HICKORY,NC,28602-8408,,Yes,3HEP5,11,35,82163952,1201,Y,USA,Main,3290,,1974,,,,,,,,,,,238210
21,ELLIOTT BUILDING COMPANY,,Wayne H. Propst,,1490 S CENTER ST,,HICKORY,NC,28602-5219,,No,5GXJ7,5,35,830672916,1001,Y,USA,Main,3290,,1908,,,,,,,,,,,"221310, 221320"
22,"MOUNTAIN CREEK CONTRACTORS, LLC",,russell rockett,,205 E CENTRAL AVE,,CATAWBA,NC,28609-9520,,No,6LQ69,10,35,128274896,1201,Y,USA,Main,3290,,1999,,,,,LL,,,concrete,,,237310
23,Hampton Inn Of Hickory ,Hampton Inn ,Suzanne D Yoder,,1520 13Th Ave Dr Se ,,Hickory,NC,28602-5183,,Yes,786B5,10,35,621511567,1201,Y,USA,Main,3290,,1989,,,,,,,,,,,721110
24,Carolina Tape & Supply Corporation ,,K. SHAWN  DAGENHARDT,,502 19th St Pl SE ,,Hickory,NC,28602-0000,a custom tapes converter for all types of pressure sensitive and industrial tape products as well as a distributor of furniture manufacturing supplies and packaging products.,Yes,0REM0,10,35,56471279,1201,Y,USA,Main,3290,,1966,,,,,SC,,,"PAPER, TAPE, LAMINATED, DIE CUT TAPE",,,"313320, 322220, 326112, 424120, 424130, 561990"
25,"Stability Institute, INC",,Travis Mann,,1270 Shady Valley Ln,,Claremont,NC,28610-7402,,No,6T8H1,10,35,78646070,1201,Y,USA,Main,3290,,2012,,,,,SC,,,,,,541690
26,"COMMERCIAL FABRICATORS, INC.",,RICHARD Tucker,President,2045 INDUSTRIAL DR,,NEWTON,NC,28658-7703,"Fabrication of stairs, handrails, ladders, catwalks, light structural using steel, aluminum, stainless and brass.",No,38QM6,10,35,24622144,1001,Y,USA,Main,3290,,1981,4/12/2006,4/12/2015,,,SC,4/11/2006,4/12/2015,"Stairs, Handrails, Ladders, Catwalks, Light Structural, Cast-ins, Steel, Aluminum, Stainless, Brass",,"ESAB Plasma cutting machine, rolls, press brakes, shear and ironworker.","331210, 332312, 332313, 332322, 332323, 332999, 423510, 423710"
27,Klingspor Corporation ,Klingspor Woodworking Shop ,Pam  Barden,,856 21st St Dr Se ,,Hickory,NC,28602-8376,,Yes,3J8G2,10,35,809166887,901,Y,USA,Main,3290,http://www.woodworkingshop.com,1991,,,,,SC,,,,,,"327910, 444130, 444190, 454113"
28,CODE LLC,,CLAUDETTE  C FINGER,,2013 FIRST ST SE,,HICKORY,NC,28602-2917,"We supply Fiber,CAT 5E& 6 cable,patch cords, hardware, cable management& equipment. Our engineer-install services include: Premise(low voltage), Audio/Video, WiFi, VoIP,WiMax, In-Building Distribution Antenna Systems, PBX Systems, FTTx & Central Office",Yes,3D3E4,5,35,128284440,1201,Y,USA,Main,3290,http://www.codellc.com,2002,6/8/2006,6/8/2015,,,LL,6/8/2006,8/15/2017,"toolkit, CAT6, fiber, Fiber-optic, cable, patch cord, patch panel, connector, module, communication, network, telecommunication, install, WiFi, DAS, Distribuition, Antenna System, VoIP, PBX/Key Systems, FTTx, Central Office, otdr, test equipment, fan-out",audio video,,"238210, 334112, 334210, 334290, 334417, 334419, 335921, 335999, 423610, 423690"
29,BOXCAR GRILLE 135 FOODS INC,,APRIL  BOLICK,,3140 N OXFORD ST,,CLAREMONT,NC,28610-9684,,Yes,4ZKG2,10,35,931081561,1201,Y,USA,Main,3290,,2000,,,,,,,,,,,"722320, 722511"
30,Warehouse Supplies Online LLC ,,AMY  Montgomery,,3282 BEAL RD ,,MAIDEN,NC,28650-9134,,Yes,6QVB3,10,35,78468855,1201,Y,USA,Main,3290,http://warehousesuppliesonline.com,2012,,,,,LL,,,,,,"321920, 321999, 322211, 326121, 326199, 332312, 332321, 332323, 332439, 332618, 333514, 333922, 333924, 333999, 337127, 337214, 337215"
31,JS GARMON ENTERPRISE ,,Jeffrey S Garmon,,242 UNION SQ NW ,,HICKORY,NC,28601-6110,,Yes,6SL59,10,35,843196051,1201,Y,USA,Main,3290,,2001,,,,,SC,,,,,,"339113, 448210, 621399"
32,"ATRIAX BUILDING SOLUTIONS, L.L.C.",ATRIAX GROUP,George Auten Jr,President,102 3RD AVE NE,,HICKORY,NC,28601-1873,"Full service general contracting firm specializing in commercial, institutional, industrial and residential construction. Complete construction phase services. Design-build.",No,3E6S4,10,35,103996943,1201,Y,USA,Main,3290,,2003,,,,,,,,"construction, management, service disabled, veteran owned, SDVO, veteran, housing, commercial, industrial, small business, design-build, contracting, general contracting",,N/A,"236210, 236220, 237310, 238350, 238990"
33,"Martin, Thomas ",Tom Martin Productions ,Thomas O Martin,,1535 32nd Ave Pl NE ,,Hickory,NC,28601-9294,,Yes,7AL01,5,35,79529114,1201,Y,USA,Main,3290,,2015,,,,,,,,"Graphic Design, Marketing Services, Display Advertising",,,"512110, 541430, 541511, 541613, 541810, 541820, 541850"
34,HICKORY BRANDS INC,,RICHARD J Schaftlein,,429 27TH ST NW,,HICKORY,NC,28601-4549,,Yes,3Y310,10,35,192370542,1201,Y,USA,Main,3290,,1923,,,,,,,,,,,313220
35,ING SOURCE INC ,,David Higgins,,446 9TH ST SE ,,HICKORY,NC,28602-4040,,Yes,75XP3,5,35,29472082,1201,Y,USA,Main,3290,htp://www.ingsource.com,2008,,,,,,,,,,,"315110, 315990, 339113"
36,CATAWBA PROFESSIONAL BUILDING CO,,Elizabeth C FULLER,,352 2ND ST NW STE 106,,HICKORY,NC,28601-4954,,No,35ST3,5,35,626813034,1201,Y,USA,Main,3290,,1971,,,,,,,,,,,531120
37,"Huntington House, Inc. ",,Johnny Slagle,,661 Rink Dam Rd ,,Hickory,NC,28601-0000,,Yes,76S46,10,35,131413999,1201,Y,USA,Main,3290,huntingtonhouse.com,1985,,,,,,,,,,,"337121, 337122"
38,"ROBERT A. MULLINAX, PLLC",,ROBERT A MULLINAX,,22 S MAIN AVE STE 301,,NEWTON,NC,28658-3354,,Yes,3U8V8,10,35,146378794,1201,Y,USA,Main,3290,,2002,,,,,LL,,,,,,531390
39,Airborne Tactical Solutions LLC ,,William M Challancin,,2227 Metcalf Drive ,,Sherrills Ford,NC,28673-3001,,Yes,7CUH6,10,35,79805129,1201,Y,USA,Main,3290,,2014,,,,,LL,,,,,,"336320, 336413, 339113, 541712, 541712, 541712, 541712"
40,"ATRIAX, P.L.L.C.",,George R Auten Jr,,102 3RD AVE NE,,HICKORY,NC,28601-1977,"Full service architectural/engineering/planning firm. Design-build. Consulting, management and construction phase services.",Yes,1XLU0,10,35,31659431,1201,Y,USA,Main,3290,www.atriaxgroup.com,2001,,,,,LL,,,"architecture, engineering, consulting, management, service disabled, veteran owned, SDVO, planning, site planning, design build, const management",,,"541310, 541320, 541330, 541330, 541330, 541330, 541410, 541512, 541519, 541519, 541611, 541620, 541990"
41,"Precision Cabling Group, LLC ",,James E Campbell,,430 17th Ave Ne ,,Hickory,NC,28601-2094,,Yes,7CH95,5,35,79759350,1201,Y,USA,Main,3290,,2015,,,,,LL,,,,,,"238210, 335921, 423430, 423610, 541512, 541519, 541519, 611420"
42,"PRIDON, LLC",,GEORGE  AUTEN,,102 3RD AVE NE STE 200,,HICKORY,NC,28601-0000,Construct Housing for Homeless Veterans. Provide Services for Veterans residing in that Housing.,No,6L9C1,10,35,969941066,1201,Y,USA,Main,3290,,2004,,,,,LL,,,"Homeless Vet Housing, VA BURR Initiative, Apartments, Single-Family, Developer",,,"236115, 236116, 236220, 531110, 531190, 531190"
43,G LEROY &LYNN M LAIL & CHARLES M  MULL ARTHUR LEEABOVE ET AL PTR ,,Scott Lail,,2258 HIGHWAY 70 SE ,,HICKORY,NC,28602-5191,,Yes,71CL4,10,35,62582424,1201,Y,USA,Main,3290,,1978,,,,,,,,,,,531312
44,"SSC HICKORY EAST OPERATING COMPANY, LLC",BRIAN CENTER HEALTH & REHABILITATION - HICKORY EAST,KELLE C SANTORO,,3031 TATE BLVD SE,,HICKORY,NC,28602-1455,,Yes,8A4T9,10,35,361460376,1201,Y,USA,Main,3290,,2005,,,,,,,,,,,623110
45,"LGB-I, LLC ",,Leanne Trip,,2258 US HIGHWAY 70 SE STE 101 ,,HICKORY,NC,28602-5190,,Yes,73DD2,10,35,827873519,1201,Y,USA,Main,3290,,2006,,,,,LL,,,,,,721110
46,"TACTICAL DEFENSE ACADEMY, LLC ",,Jeff L. Eddins,,6193 DWAYNE STARNES DR ,,HICKORY,NC,28602-8958,,Yes,7BQ40,10,35,22038653,1201,Y,USA,Main,3290,http://www.tdanc.com,2014,,,,,SC,,,,,,"611519, 611519"
47,SSC Hickory 13th Operating Company LLC ,BRIAN CENTER HEALTH AND REHABILITATION HICKORY VIEWMONT ,KELLE C SANTORO,,220 13th Ave NW ,,Hickory,NC,28601-2532,,Yes,41JN8,10,35,361513125,1201,Y,USA,Main,3290,,2005,,,,,,,,,,,623110
48,"TRU-PAK MOVING SYSTEMS, INC.",EISENHOWER TRU-PAK MOVING SYSTEMS,ALLYSON  SIEGEL,,1700 ALUM CT NE,,CONOVER,NC,28613-8888,,Yes,35VC4,10,35,3151214,201,Y,USA,Main,3290,,1955,,,,,,,,,,,"484121, 484122, 484210"
49,Stanford Furniture Corporation ,,RANDY SHORT,,2860 N Oxford St ,,Claremont,NC,28610-9602,,Yes,42AJ0,10,35,785802786,1201,Y,USA,Main,3290,,1992,,,,,SC,,,,,,337122
50,SPECIALTY TRANSPORTATION SYSTEM INC,SPECIALTY TRANSPORTATION,DEXTER  D  WARREN,,2720 N MAIN AVE,,NEWTON,NC,28658-2732,,Yes,4QPY0,10,35,789991734,1201,Y,USA,Main,3290,,1991,,,,,SC,,,,,,811198
51,"HAGER WORLDWIDE, INC.",,MARK W SCHNEIDER,,441 19TH ST SE,,HICKORY,NC,28602-4232,,Yes,3CUJ6,10,35,9277971,301,Y,USA,Main,3290,,1975,,,,,,,,,,,423450
52,"QUAKER FURNITURE, INC.",STUDIO Q FURNITURE,Richard Iddings,,3060 MAIN AVE SE,,HICKORY,NC,28602-4449,,Yes,63P52,10,35,41047440,501,Y,USA,Main,3290,,1966,,,,,,,,,,,"337121, 337122, 337127, 337211"
53,Triad Orthotics & Prosthetics ,,RANDY  KING,,1065 13TH ST SE ,,HICKORY,NC,28602-4165,,Yes,636Q7,10,35,802576491,1201,Y,USA,Main,3290,,2006,,,,,SC,,,,,,339113
54,HILLTOP INVESTORS LLC,HILLTOP APARTMENTS,Paula Oravec,,183 18TH ST PL NW APT K,,HICKORY,NC,28601-0000,,No,6NFZ6,10,35,78379381,1201,Y,USA,Main,3290,,2011,,,,,LL,,,,,,531110
55,"KEMP SYSTEMS, INC.",KEMP,AMY  K McBride,,2217 LYNMORE DR,,SHERRILLS FORD,NC,28673-9138,,No,31GR5,10,35,175761626,1201,Y,USA,Main,3290,,1980,,,,,,,,,,,"221310, 221320"
56,"Yerger Jr., Donald R. ",NC Broadcast Technology Consulting ,Donald R Yerger,,2324 Capes Cove Dr. ,,Sherrills Ford,NC,28673-9123,,No,7BE48,10,35,79664171,1201,Y,USA,Main,3290,,2015,,,,,,,,,,,541611
57,WET SURFACE TECHNOLOGIES LLC,,FRANK  GARRIGA,,1120 37TH AVENUE DR NE,,HICKORY,NC,28601-9626,"Reducing the likelihood of slips and falls on wet surfaces with one of two proven treatments applied by our staff. Showers, locker rooms, steps entrance ways almost any surface except carpeting including ceramic, concrete, porcelain, metal, wood, vinyl.",Yes,6NJQ1,5,35,56621668,1201,Y,USA,Main,3290,http://www.slippery-fall.com,2010,,,,,LL,,,Slip Resistance,,We are self contained.,"238330, 238390, 238990, 321918, 325510, 325613, 325998, 488119, 519120, 561210, 561720, 611310, 611519, 611519, 621491, 621511, 622110, 623110, 623990"
58,"DESIGNMASTER FURNITURE, INC.",,Beth Sturdivant,,1283 27TH ST DR SE,,HICKORY,NC,28602-8362,,Yes,5T1P2,10,35,555493964,1201,Y,USA,Main,3290,,1989,,,,,SC,,,,,,"337121, 337122, 337124, 337125"
59,Express Business Systems Inc,Express Mailing & Shipping,RYAN  Fore,,421 Main Ave Ne,,Hickory,NC,28601-5122,,No,60RM5,5,35,805811973,1201,Y,USA,Main,3290,http://www.exbs.com,1985,,,,,SC,,,,,,"518210, 541860, 561410, 561431, 561499"
60,Northwest Drywall Company ,,Philip Maltba,,1088 3rd Ave Dr NW ,,Hickory,NC,28601-4855,,Yes,7DYX4,5,35,57936080,601,Y,USA,Main,3290,,1973,,,,,,,,,,,"236210, 236220, 238120, 238130, 238310, 238320, 238390, 238990"
61,"RITCHIE, JOSHUA ",Ritchies Lawncare ,JOSHUA  RITCHIE,,1372 LITTLE RD ,,NEWTON,NC,28658-9668,,Yes,7CJD2,10,35,4512288,1201,Y,USA,Main,3290,,2005,,,,,,,,,,,561730
62,MORNINGSTAR MAIN HICKORY ,,Amy  Konecny,,542 MAIN AVE SE ,,HICKORY,NC,28602-1103,,Yes,7BTP5,5,35,20661590,1201,Y,USA,Main,3290,,2013,,,,,,,,,,,493110
63,JAMES P RUBEL,ABILITY ORTHOPEDICS,CATHY RUBEL,,1636 TATE BLVD SE,,HICKORY,NC,28602-4244,,Yes,3UCW9,10,35,556119055,1201,Y,USA,Main,3290,,1990,,,,,LL,,,,,,621399
64,"STI, LLC",,JOHN E. BENTON,,4841 MAIDEN HWY,,MAIDEN,NC,28650-9194,,Yes,3UPL2,10,35,146265439,1201,Y,USA,Main,3290,,2003,,,,,LL,,,,,,485510
65,WEALTH MASTERS INC ,,Raymond S Mosteller,,1768 CASTLEWOOD CT ,,HICKORY,NC,28602-8299,,Yes,7D1Q3,10,35,14864592,1201,Y,USA,Main,3290,http://amazingleatherproducts.com,2008,,,,,SC,,,,,,316998
1,CAFE CON LECHE MEDIA,,Bart Shull,,10 N BERRYMEADOW LANE,,DURHAM,NC,27703-7175,,No,61AZ4,1,63,962759051,1201,Y,USA,Main,6640,,2004,,,,,,,,Filmmaker,,,
Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Producer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Director""",,,"512110, 512120, 512199, 512290, 519190, 541511, 541711, 611710, 711320, 711510",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"3-C Institute for Social Development, Inc. ",3C Institute ,Melissa E. DeRosier,President,"4364 Alston Avenue, Suite 300 ",,Durham,NC,27713-0000,,No,3FLT8,2,63,46981549,1201,Y,USA,Main,6640,,2001,,,,,,,,"social, behavioral, health, education, research",,,"541511, 541519, 541519, 541618, 541690, 541720"
3,LASER INK CORPORATION,LASER IMAGE CORPORATE PRINTING,Shawn Gibbs,,4018 PATRIOT DR STE 200,,DURHAM,NC,27703-8083,Laser Image Printing & Marketing,Yes,4L8K0,4,63,177977261,1201,Y,USA,Main,6640,http://www.licp.com,1987,,,,,,,,"Comm Gravue Printing, Book Printing, Market Consult Serv, Direct Mail Adver.",,,"323111, 323117, 541613, 541860"
4,"D. W. EVANS ELECTRIC, INC.",,MICHAEL  Evans,,4200 OLD NC 10,,DURHAM,NC,27705-8508,,No,687Y7,6,63,197964497,1201,Y,USA,Main,6640,http://www.dwevans.com,1979,,,,,,,,,,,"238210, 541711, 541712, 541712, 541712, 541712, 621511"
5,"TRIANGLE RESEARCH LABS, LLC",,Mike McCauley,,6 DAVIS DRIVE,,RESEARCH TRIANGLE PARK,NC,27709-0003,,No,6LXN6,4,63,78314579,1201,Y,USA,Main,6640,,2011,,,,,LL,,,,,,541711
6,"Davis 54, LLC ",,Michelle Stiles,,12 Davis Dr ,,Research Triangle Park,NC,27709-0003,,No,74SX7,4,63,79358637,901,Y,USA,Main,6640,,2013,,,,,LL,,,,,,"531190, 531190"
7,"STRATEGIC EVALUATIONS, INC. ",,DAWAYNE  WHITTINGTON,,5501 Woodberry Rd ,,Durham,NC,27707-5358,"SEI is an evaluation consulting firm located in Durham, North Carolina that specializes in evaluating science education grants, particularly training grants. Several of the grants we presently evaluate funded by NIH, NSF, or HHMI.",Yes,4LLU9,4,63,156836905,1201,Y,USA,Main,6640,,2002,,,,,SC,,,"External Evaluation, STEM Training Grants, Education Grants",,"One additional advantage that comes with partnering with SEI is access to iBioSketch.com. This proprietary, web-based tracking tool enables the storing of a collaboratively built database of trainees? career progress.",611710
8,"LEE, WAYNE",,WAYNE E Lee,,914 GREEN ST,,DURHAM,NC,27701-1508,,No,61UN3,1,63,962971706,701,Y,USA,Main,6640,,2010,,,,,,,,,,,541720
9,"Chen, Szu-Ying ",,Szu-Ying Chen,,1922 White Pine Dr ,,Durham,NC,27705-7525,,No,73PC4,4,63,79356869,1201,Y,USA,Main,6640,,2014,,,,,,,,,,,"541620, 541990"
10,WAVE COMPUTATION TECHNOLOGIES INC,,TONG LI,,1800 MARTIN LUTHER KING PKWY,,DURHAM,NC,27707-3500,,Yes,47DT1,4,63,610338324,1201,Y,USA,Main,6640,,2005,,,,,,,,,,,"511210, 541330, 541330, 541330, 541330, 541420, 541511, 541620, 541690, 541712, 541712, 541712, 541712"
11,"METABOLON, INC.",,CHRIS  BERNARD,,617 DAVIS DR STE 400,,DURHAM,NC,27713-4385,,Yes,465L2,4,63,137097981,1201,Y,USA,Main,6640,http://www.metabolon.com/,2000,,,,,,,,"metabolomics, diagnostics, biomarkers, surrogate markers",,,"541712, 541712, 541712, 541712"
12,"MONOMERCHEM, INC",,MARCUS Brackeen,,1725 CARPENTER FLETCHER RD,,DURHAM,NC,27713-2280,"MonomerChem provides custom synthesis of organic compounds, drugs, drug-like compounds, large scale organic pharmaceutical intermediates, medicinal chemistry services. MonomerChem provides Process Chemistry and Chemical Development services.",No,3PSP2,4,63,12758129,1201,Y,USA,Main,6640,http://www.monomerchem.com,1997,3/6/2009,3/6/2018,,,SC,3/6/2009,11/23/2013,"Custom Synthesis, Chemistry, Process Development, Chemical Development, Drug Standards, Intermediates, Radiotracers, Medicinal Chemistry, organic synthesis, purification, distillation, chemical resolution, chemical synthesis, drug synthesis",,Large Scale Chemical Reactors Large Scale Heated Hydrogenation Reactors Large Scale Pressure Reactors,"325199, 541380, 541711, 541712, 541712, 541712, 541712"
13,"CW LAW GROUP PLLC, THE ","CW Law Group, The ",Syrena N Williams,,3622 LYCKAN PKWY STE 5002 ,,DURHAM,NC,27707-2539,"The CW Law Group is a leading small business experienced in providing legal, mediation and consulting services.",Yes,7ARQ0,4,63,23928577,1201,Y,USA,Main,6640,,2009,,,,,,,,"Legal, Law, Consulting, Mediation, Administrative, Notary, Regulation, Regulatory, Negotiations, Contracts",,,"541110, 541199, 541611, 541612, 541690, 541990, 561110, 624190"
14,BIOPLASTICS/CYCLERTEST INC,,CHING  Gao,,"2933 S MIAMI BLVD, STE 121",,DURHAM,NC,27703-9041,,Yes,50NG5,4,63,195572420,1201,Y,USA,Main,6640,,2005,,,,,,,,,,,811219
15,"ADVANCED DIGITAL SYSTEMS, INC.",MI-CO,GAUTHAM  PANDIYAN,,4601 CREEKSTONE DR STE 102,,DURHAM,NC,27703-8458,"Mi-Co is a software developer and full service integrator of enterprise software apps for Mobile Data Collection, e-Forms, Business Data Portals and Business Process Automation.",Yes,1MDK9,4,63,81344264,1201,Y,USA,Main,6640,http://www.mi-corporation.com,1999,,,,,,,,"form, e-form, tablet pc form, workflow, mobile, tablet pc, electronic logbook, logbook, digital pen, business process, electronic forms, data collection, data capture, inspection software, compliance, field inspection, tablet",,,
pc software," tablet pc forms""","inspection forms, reports, Mi-Forms, Mi-Co, tablet form, smartphone, app","FDA 21 CFR Part 11 Compliant, HIPAA Certified, Microsoft Gold Partner","511210, 518210, 541511, 541519, 541519, 541611, 561410",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"HIPERISM CONSULTING, LLC ",,George Delic,CEO,4811 ROLLINGWOOD DR ,,Durham,NC,27713-8636,"High Performance Computing software products and services including: Intel software products, Fortan and C code productivity tools, Training courses in programming parallel computers. Linux cluster computers expertise.",Yes,1P1L5,4,63,134134498,1201,Y,USA,Main,6640,http://www.hiperism.com,1998,,,,,LL,,,"Intel Software, Fortranlint, LintPlus, Vampir, Vampirtrace, Parallel Computing, Programming Training, OpenMP, MPI, Linux Clusters",,Software from Intel and Cleanscape Software international. Training workbooks for programming in OpenMP and MPI with parallel computers.,"511210, 541511, 541519, 541519"
